Tên sản phẩm,SKU,Danh mục,Thương hiệu,Giá,Giá khuyến mãi,Tồn kho,Trạng thái,Nổi bật,Ảnh sản phẩm,Đường link ảnh sản phẩm
Xiaomi 14 Ultra,XM14U,Điện thoại,Xiaomi,25000000,24000000,60,hoạt động,,xiaomi14ultra.jpg,
Oppo Find X7 Pro,OPFX7P,Điện thoại,Oppo,22000000,21000000,35,hoạt động,,oppofindx7pro.jpg,
Vivo X100 Pro,VVX100P,Điện thoại,Vivo,21000000,20000000,30,hoạt động,,vivox100pro.jpg,
Realme GT 5 Pro,RMGT5P,Điện thoại,Realme,18000000,17000000,25,hoạt động,,realmegt5pro.jpg,
Asus ROG Phone 8,ASROG8,Điện thoại,Asus,26000000,25000000,20,hoạt động,có,rogphone8.jpg,
OnePlus 12,OP12,Điện thoại,OnePlus,20000000,19000000,18,hoạt động,,oneplus12.jpg,
Google Pixel 8 Pro,GGPX8P,Điện thoại,Google,23000000,22000000,22,hoạt động,,pixel8pro.jpg,
Sony Xperia 1 V,SNYX1V,Điện thoại,Sony,27000000,26000000,12,hoạt động,,xperia1v.jpg,
Nokia X30 5G,NKX305G,Điện thoại,Nokia,12000000,11000000,28,hoạt động,,nokix305g.jpg,
Motorola Edge 40 Pro,MOTEDG40P,Điện thoại,Motorola,17000000,16000000,15,hoạt động,,edge40pro.jpg,
Tecno Phantom X2 Pro,TECPHX2P,Điện thoại,Tecno,14000000,13000000,10,hoạt động,,phantomx2pro.jpg,
Vsmart Aris Pro,VSARISP,Điện thoại,Vsmart,9000000,8500000,8,hoạt động,,arispro.jpg,
Masstel N6,MASN6,Điện thoại,Masstel,1500000,1400000,50,hoạt động,,massteln6.jpg,
,,,,,,,,,,
,,,,,,,,,,
 ,,,,,,,,,,
