"Tên sản phẩm",SKU,"Danh mục","Thương hiệu",Giá,"Giá khuyến mãi","Tồn kho","Trạng thái","Nổi bật","Ảnh sản phẩm","Đường link ảnh sản phẩm"
"GHẾ GAMING E-DRA Hercules EGC203",EDRAEGC203,"Ghế gaming",E-DRA,3500000,3200000,15,"hoạt động",có,edra_egc203.jpg,https://example.com/edra_egc203.jpg
"GHẾ GAMING MSI MAG CH130 X",MSICH130X,"Ghế gaming",MSI,5600000,5300000,10,"hoạt động",,msi_ch130x.jpg,https://example.com/msi_ch130x.jpg
"GHẾ GAMING Razer Iskur X",RZRISKURX,"Ghế gaming",Razer,8900000,8600000,8,"hoạt động",,razer_iskur_x.jpg,https://example.com/razer_iskur_x.jpg
"GHẾ GAMING Anda Seat T-Pro 2",ANDASTP2,"Ghế gaming","Anda Seat",7000000,6700000,12,"hoạt động",,anda_tpro2.jpg,https://example.com/anda_tpro2.jpg
"GHẾ GAMING Cougar Armor One",CGARMOR1,"Ghế gaming",Cougar,4500000,4200000,20,"hoạt động",,cougar_armor_one.jpg,https://example.com/cougar_armor_one.jpg
"Micro USB HyperX QuadCast",HXQUADCAST,Micro,HyperX,3200000,3000000,25,"hoạt động",có,hyperx_quadcast.jpg,https://example.com/hyperx_quadcast.jpg
"Micro Razer Seiren Mini",RZSEIRMINI,Micro,Razer,1500000,1350000,30,"hoạt động",,razer_seiren_mini.jpg,https://example.com/razer_seiren_mini.jpg
"Micro Elgato Wave:3",ELGWAVE3,Micro,Elgato,4000000,3800000,12,"hoạt động",,elgato_wave3.jpg,https://example.com/elgato_wave3.jpg
"Micro Blue Yeti Nano",BLYETINANO,Micro,Blue,2700000,2500000,18,"hoạt động",,blue_yeti_nano.jpg,https://example.com/blue_yeti_nano.jpg
"Micro Fifine K690",FIFK690,Micro,Fifine,1900000,1750000,22,"hoạt động",,fifine_k690.jpg,https://example.com/fifine_k690.jpg
"Webcam Logitech C920 HD Pro",LOGC920,Webcam,Logitech,2100000,2000000,25,"hoạt động",có,logitech_c920.jpg,https://example.com/logitech_c920.jpg
"Webcam Razer Kiyo",RZKIYO,Webcam,Razer,2600000,2400000,14,"hoạt động",,razer_kiyo.jpg,https://example.com/razer_kiyo.jpg
"Webcam Elgato Facecam",ELGFCAM,Webcam,Elgato,4700000,4500000,10,"hoạt động",,elgato_facecam.jpg,https://example.com/elgato_facecam.jpg
"Webcam Microsoft LifeCam HD-3000",MSHD3000,Webcam,Microsoft,990000,900000,30,"hoạt động",,lifecam_hd3000.jpg,https://example.com/lifecam_hd3000.jpg
"Webcam AVerMedia PW513 4K",AVERPW513,Webcam,AVerMedia,5900000,5600000,8,"hoạt động",,avermedia_pw513.jpg,https://example.com/avermedia_pw513.jpg
 
